Time,HMF,HMFCA,DFF,FFCA,FDCA,DHMF
0,7.2968,0,0,0,0,0
10,5.46118,0.28883,0.18755,0.07814,0.70667,0.45019
20,4.71132,0.58542,0.23612,0.1373,1.35471,0.11918
30,3.98828,0.54085,0.26955,0.20045,2.19464,0.0972
40,3.15316,0.61849,0.26021,0.21891,2.85186,0
50,2.45161,0.64415,0.25752,0.22728,3.58948,0
60,1.96546,0.49866,0.21122,0.22091,4.46277,0
70,1.36414,0.6882,0.17858,0.20341,4.86637,0
80,1.11224,0.489,0.1944,0.19694,5.26778,0
90,0.76865,0.57089,0.18347,0.16474,5.5799,0
100,0.67808,0.35579,0.14885,0.15922,5.85981,0
110,0.54419,0.25669,0.18084,0.13545,6.11198,0
